name,ticker,yahoo_symbol,asset_type
Reliance Industries Limited,RELIANCE,RELIANCE.NS,stock
HDFC Bank Limited,HDFCBANK,HDFCBANK.NS,stock
Bharti Airtel Limited,BHARTIARTL,BHARTIARTL.NS,stock
ICICI Bank Limited,ICICIBANK,ICICIBANK.NS,stock
State Bank of India,SBIN,SBIN.NS,stock
Tata Consultancy Services Limited,TCS,TCS.NS,stock
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS,stock
Larsen & Toubro Limited,LT,LT.NS,stock
Hindustan Unilever Limited,HINDUNILVR,HINDUNILVR.NS,stock
Sun Pharmaceutical Industries Limited,SUNPHARMA,SUNPHARMA.NS,stock
Infosys Limited,INFY,INFY.NS,stock
Maruti Suzuki India Limited,MARUTI,MARUTI.NS,stock
Adani Enterprises Limited,ADANIENT,ADANIENT.NS,stock
Adani Ports and Special Economic Zone Limited,ADANIPORTS,ADANIPORTS.NS,stock
Adani Power Limited,ADANIPOWER,ADANIPOWER.NS,stock
Axis Bank Limited,AXISBANK,AXISBANK.NS,stock
Titan Company Limited,TITAN,TITAN.NS,stock
Kotak Mahindra Bank Limited,KOTAKBANK,KOTAKBANK.NS,stock
Mahindra & Mahindra Limited,M&M,M&M.NS,stock
ITC Limited,ITC,ITC.NS,stock
NTPC Limited,NTPC,NTPC.NS,stock
UltraTech Cement Limited,ULTRACEMCO,ULTRACEMCO.NS,stock
HCL Technologies Limited,HCLTECH,HCLTECH.NS,stock
Oil and Natural Gas Corporation Limited,ONGC,ONGC.NS,stock
Bajaj Finserv Ltd.,BAJAJFINSV,BAJAJFINSV.NS,stock
JSW Steel Limited,JSWSTEEL,JSWSTEEL.NS,stock
Hindustan Aeronautics Limited,HAL,HAL.NS,stock
Bharat Electronics Limited,BEL,BEL.NS,stock
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.NS,stock
Life Insurance Corporation of India,LICI,LICI.NS,stock
Nestlé India Limited,NESTLEIND,NESTLEIND.NS,stock
Power Grid Corporation of India Limited,POWERGRID,POWERGRID.NS,stock
Coal India Limited,COALINDIA,COALINDIA.NS,stock
Eternal Limited,ETERNAL,ETERNAL.NS,stock
Avenue Supermarts Limited,DMART,DMART.NS,stock
Adani Green Energy Limited,ADANIGREEN,ADANIGREEN.NS,stock
Asian Paints Limited,ASIANPAINT,ASIANPAINT.NS,stock
Shriram Finance Limited,SHRIRAMFIN,SHRIRAMFIN.NS,stock
Tata Steel Limited,TATASTEEL,TATASTEEL.NS,stock
Hindustan Zinc Limited,HINDZINC,HINDZINC.NS,stock
Hindalco Industries Limited,HINDALCO,HINDALCO.NS,stock
Grasim Industries Limited,GRASIM,GRASIM.NS,stock
InterGlobe Aviation Limited,INDIGO,INDIGO.NS,stock
